Brand,Model,Release_Year,Category,Price_USD,Screen_Size_Inches,Processor_Type,RAM_GB,Storage_GB,OS,Battery_Capacity_mAh,Typical_Capacity_mAh,Rated_Capacity_mAh,Battery_Life_Hours,Standby_Time_Hours,Talk_Time_Hours,Video_Playback_Hours,Web_Browsing_Hours,Music_Playback_Hours,Gaming_Test_Hours,Usage_Scenario,Battery_Endurance_Rating,Battery_Type,Removable_Battery,Charging_Time_0_to_100,Charging_Time_0_to_50,Charging_Wattage,Charging_Technology,Fast_Charging_Supported,Fast_Charging_Tech,Wireless_Charging,Wireless_Charging_Wattage,Reverse_Wireless_Charging,Battery_Health_Percentage,Cycle_Count,Temperature_While_Charging_C,Discharge_Rate_mAh_per_hour,Idle_Discharge_Per_Hour,Thermal_Throttling_Effect,Battery_Saver_Mode_Available,Battery_Saver_Mode_Effect,Power_Consumption_Watt,Efficiency_Score,Refresh_Rate_Hz
Apple,Apple 12,2021,Midrange,1142.45,6.5,Apple A16 Bionic,8,128,iOS 16,6000,6004,5947,10.9,316,28,10.7,7.1,94,9.9,Mixed,89h,Li-Ion,No,86,42,33,Turbo Charge,Yes,Turbo Charge,No,20,No,91,348,42.7,575.1,12.1,No,No,0.18,3.12,0.0018,90
Xiaomi,Xiaomi S26,2018,Budget,1123.65,6.5,Snapdragon 8 Gen 1,4,64,Android 13,4000,4067,3997,9.6,559,21,19.5,10.0,86,5.6,Mixed,97h,Li-Ion,No,33,38,18,SuperVOOC,Yes,SuperVOOC,No,20,Yes,95,84,38.1,343.2,6.2,No,Yes,0.17,5.56,0.0024,120
Motorola,Motorola Note11,2022,Budget,622.21,5.5,Snapdragon 778G,16,64,Android 12,5000,5001,4991,12.7,659,28,14.1,8.9,86,5.6,Browsing,110h,Li-Po,Yes,79,25,18,Fast Charge,Yes,Fast Charge,No,15,Yes,85,533,32.1,583.3,7.1,Yes,Yes,0.33,4.87,0.0025,60
Google,Google X21,2024,Midrange,1077.14,6.7,MediaTek Dimensity 9200,8,64,Android 12,3000,3012,2930,9.5,756,26,15.9,11.8,50,4.9,Gaming,111h,Li-Ion,No,78,57,18,Turbo Charge,Yes,Turbo Charge,Yes,0,No,90,312,32.8,266.1,12.1,Yes,Yes,0.4,3.71,0.0032,90
Vivo,Vivo Max26,2022,Flagship,1294.57,6.4,Snapdragon 8 Gen 1,8,256,Android 12,3500,3572,3473,10.3,720,16,15.1,17.1,60,4.2,Gaming,125h,Li-Ion,No,61,23,33,Warp Charge,Yes,Warp Charge,No,0,No,90,183,37.4,530.7,7.3,Yes,Yes,0.35,2.95,0.0029,120
OnePlus,OnePlus X1,2023,Midrange,1311.95,6.7,MediaTek Dimensity 9200,4,512,Android 12,3000,3009,2959,6.4,452,26,11.2,17.0,70,6.4,Browsing,95h,Li-Po,Yes,84,24,18,Warp Charge,Yes,Warp Charge,Yes,15,No,93,586,36.7,464.6,11.3,No,No,0.37,4.54,0.0021,90
Google,Google Max13,2020,Flagship,123.59,6.0,Snapdragon 778G,4,256,Android 13,3000,3095,2900,11.4,589,18,9.6,14.6,73,3.6,Browsing,111h,Li-Ion,Yes,62,48,33,SuperVOOC,Yes,SuperVOOC,No,10,No,90,539,33.6,255.4,8.4,Yes,No,0.25,3.06,0.0038,90
Realme,Realme Max14,2018,Flagship,574.5,6.4,ediaTek Dimensity 7200,8,256,Android 13,3000,3051,2972,16.6,372,33,10.9,14.3,86,7.4,Video,120h,Li-Po,Yes,31,27,18,VOOC,Yes,VOOC,Yes,20,No,88,89,35.8,337.6,17.3,Yes,No,0.13,5.64,0.0055,144
OnePlus,OnePlus Pro7,2019,Midrange,461.98,6.5,Snapdragon 8 Gen 2,4,64,Android 12,6000,6069,5999,10.9,648,38,10.5,15.2,76,6.3,Video,91h,Li-Po,No,119,56,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,0,No,88,255,35.7,295.0,16.5,No,Yes,0.22,5.84,0.0018,144
Asus,Asus Note6,2022,Midrange,1211.82,6.8,Tensor G2,4,128,Android 12,4000,4094,3993,5.5,483,40,8.6,10.1,91,9.4,Idle,106h,Li-Ion,Yes,111,48,65,Warp Charge,Yes,Warp Charge,Yes,15,Yes,96,154,41.9,596.2,11.6,Yes,Yes,0.24,5.54,0.0014,60
Samsung,Samsung X27,2023,Flagship,1401.13,6.4,Tensor G2,12,128,iOS 15,3500,3500,3436,15.2,799,40,12.2,10.9,93,4.9,Video,98h,Li-Po,No,84,15,25,Warp Charge,Yes,Warp Charge,Yes,15,Yes,85,387,43.1,467.1,8.5,Yes,No,0.21,4.47,0.0043,144
OnePlus,OnePlus A8,2021,Midrange,1316.98,6.8,Tensor G2,12,256,Android 14,4000,4006,3980,17.9,527,40,15.8,8.1,57,3.9,Browsing,112h,Li-Ion,No,60,42,25,Warp Charge,Yes,Warp Charge,Yes,20,Yes,98,419,31.8,405.5,19.0,Yes,No,0.37,3.07,0.0045,144
Samsung,Samsung Pro21,2023,Flagship,1234.56,6.4,Apple A16 Bionic,4,512,Android 14,4000,4057,3985,10.7,650,17,15.7,10.1,75,4.8,Mixed,119h,Li-Po,No,60,16,25,SuperVOOC,Yes,SuperVOOC,No,5,Yes,86,527,38.3,544.9,5.6,No,Yes,0.33,3.12,0.0027,144
Realme,Realme Pro4,2018,Flagship,909.0,6.5,Apple A15 Bionic,8,128,Android 14,4500,4517,4414,6.1,440,37,17.8,8.6,72,5.7,Idle,88h,Li-Po,Yes,94,56,10,Quick Charge 4.0,No,,No,5,No,99,501,35.1,590.0,19.9,No,No,0.19,4.9,0.0014,90
Apple,Apple X17,2021,Midrange,590.72,5.5,MediaTek Dimensity 9200,8,64,Android 11,4000,4047,3904,16.3,621,22,16.9,12.4,74,4.7,Idle,100h,Li-Po,No,40,47,120,Fast Charge,Yes,Fast Charge,No,10,No,91,459,32.3,303.1,7.5,No,Yes,0.11,6.69,0.0041,144
Samsung,Samsung Pro23,2020,Budget,1059.79,6.1,MediaTek Dimensity 9200,6,64,Android 14,4000,4071,3999,6.7,326,16,12.0,17.9,78,7.0,Idle,123h,Li-Ion,No,68,20,10,SuperVOOC,No,,Yes,15,Yes,90,81,42.4,355.0,13.7,Yes,Yes,0.17,7.56,0.0017,120
Apple,Apple Max4,2023,Midrange,1094.49,6.5,Apple A15 Bionic,16,128,iOS 17,6000,6048,5970,15.6,702,21,12.1,7.6,86,6.6,Browsing,93h,Li-Ion,Yes,52,28,120,SuperVOOC,Yes,SuperVOOC,Yes,5,Yes,89,208,33.5,497.1,13.1,No,Yes,0.39,5.99,0.0026,120
Apple,Apple A30,2018,Budget,188.76,6.8,Apple A16 Bionic,12,128,iOS 17,4000,4012,3998,10.2,554,26,13.7,18.0,78,3.6,Idle,100h,Li-Po,Yes,111,16,65,SuperVOOC,Yes,SuperVOOC,Yes,20,No,92,596,43.1,489.0,9.9,Yes,Yes,0.11,5.45,0.0025,90
Google,Google Max14,2021,Budget,1343.92,6.0,Exynos 2100,6,64,Android 12,4000,4067,3949,16.8,533,32,17.6,16.1,84,8.0,Video,122h,Li-Po,Yes,78,34,10,Quick Charge 4.0,No,,No,0,No,100,389,44.2,331.1,7.4,No,No,0.13,2.41,0.0042,144
Vivo,Vivo Pro21,2019,Flagship,664.39,6.1,Snapdragon 8 Gen 1,4,64,iOS 15,3000,3026,2918,5.0,480,26,18.8,17.4,95,9.8,Gaming,84h,Li-Ion,No,80,15,18,Turbo Charge,Yes,Turbo Charge,No,20,No,89,456,33.5,414.3,8.3,Yes,No,0.22,2.14,0.0017,90
Realme,Realme X15,2018,Midrange,452.49,6.1,Snapdragon 778G,8,128,Android 11,5000,5061,4904,17.9,401,26,9.2,10.5,79,4.9,Mixed,80h,Li-Ion,Yes,39,39,33,Turbo Charge,Yes,Turbo Charge,No,0,No,98,87,40.0,409.2,18.9,No,No,0.32,3.71,0.0036,120
Realme,Realme Pro2,2023,Budget,712.96,6.8,MediaTek Dimensity 9200,8,64,Android 11,4500,4581,4465,10.2,455,29,16.3,17.8,74,6.4,Mixed,101h,Li-Ion,Yes,65,60,120,SuperVOOC,Yes,SuperVOOC,Yes,0,No,98,74,32.7,498.9,5.1,Yes,No,0.34,5.25,0.0023,90
Oppo,Oppo S13,2023,Budget,977.1,5.5,Exynos 2100,16,128,Android 14,6000,6001,5942,6.6,635,22,18.5,7.2,77,6.7,Video,108h,Li-Po,No,87,32,33,SuperVOOC,Yes,SuperVOOC,No,10,Yes,94,291,39.5,291.3,11.4,No,No,0.36,2.02,0.0011,60
Oppo,Oppo Pro8,2022,Flagship,1417.4,6.5,Apple A16 Bionic,6,512,Android 11,4000,4012,3921,10.8,623,20,19.2,14.6,87,4.7,Gaming,106h,Li-Ion,Yes,91,15,25,Fast Charge,Yes,Fast Charge,No,20,No,90,271,37.6,454.9,18.6,Yes,Yes,0.12,5.43,0.0027,60
Oppo,Oppo Note27,2019,Budget,896.32,6.8,MediaTek Dimensity 9200,12,512,Android 13,3000,3082,2961,11.9,654,24,8.3,13.4,55,6.4,Idle,120h,Li-Po,Yes,111,26,10,Turbo Charge,No,,Yes,15,Yes,85,559,44.2,474.5,10.1,No,Yes,0.38,2.55,0.004,144
Motorola,Motorola A5,2024,Budget,620.08,6.1,Snapdragon 778G,4,256,Android 13,6000,6071,5963,11.1,379,40,12.3,13.9,82,4.8,Browsing,86h,Li-Po,No,64,18,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,5,No,98,237,35.3,515.5,16.2,No,Yes,0.18,4.66,0.0018,120
